price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_ids,player_name
,0,0,-1,5281103,False,42,-6618,186,Andrey
,0,0,0,5281103,False,50,-82986,187,Arrizabalaga
,0,0,0,5281103,False,65,-2011,188,Aubameyang
,0,0,0,5281103,False,45,-100,189,Azpilicueta
,0,0,0,5281103,False,40,-288,190,Baba
,0,0,0,5281103,False,44,2924,191,B.Badiashile
,0,0,0,5281103,False,40,-512,192,Bettinelli
,0,0,0,5281103,False,43,-16241,194,Chalobah
,0,0,0,5281103,False,54,-1018308,195,Chilwell
,0,0,0,5281103,False,42,-159351,196,Chukwuemeka
,0,0,0,5281103,False,47,150924,197,Colwill
,0,0,0,5281103,True,48,-31263,198,Cucurella
,0,0,0,5281103,False,48,-216558,199,Enzo
,0,0,0,5281103,True,44,-2497,201,W.Fofana
,0,0,0,5281103,False,54,-11665,202,Gallagher
,0,0,0,5281103,False,42,514369,203,Gusto
,0,0,0,5281103,True,53,-1247232,206,James
,0,0,0,5281103,False,68,-52696,207,Lukaku
,0,0,0,5281103,False,53,-1031,208,Madueke
,0,0,0,5281103,False,63,-193406,210,Mudryk
,0,0,0,5281103,False,68,-1121129,211,N.Jackson
,0,0,0,5281103,False,74,2687,212,Nkunku
,0,0,0,5281103,False,55,-406,213,Pulisic
,0,0,0,5281103,False,43,-4906,214,M.Sarr
,0,0,0,5281103,False,40,-4182,215,Slonina
,0,0,-1,5281103,False,70,357538,216,Sterling
,0,0,0,5281103,False,50,47404,217,T.Silva
,0,0,0,5281103,False,54,-15437,218,Ziyech
,0,0,1,5281103,False,59,4053377,362,Palmer
,0,0,0,5281103,False,50,-1002,589,Ângelo
,0,0,0,5281103,False,51,-7785,609,Maatsen
,0,0,0,5281103,False,49,136668,611,Disasi
,0,0,0,5281103,True,44,-2229,613,Ugochukwu
,0,0,0,5281103,False,45,-9805,623,Burstow
,0,0,0,5281103,False,39,202,659,Bergström
,0,0,0,5281103,True,49,-223,667,Lavia
,0,0,0,5281103,False,40,-362,671,Humphreys
,0,0,0,5281103,False,45,1886,677,Deivid
,0,0,0,5281103,False,40,136,680,Beach
,0,0,0,5281103,False,45,-41,681,Diego Moreira
