player_ids,price_change_this_night,net_transfers_in_out_since_last_price_change,net_transfers_in_out_this_day,price_change_so_far_for_this_event ,total_active_players_estimate,players_injured,player_prices_today,net_transfers_in_out_overall_as_of_today,player_name
430,,0,967,0,5134547,False,68,854677,Trippier
431,,0,-6,0,5134547,False,40,-8338,Watts
432,,0,-11,0,5134547,True,53,-16862,Willock
433,,0,-1058,0,5134547,False,78,-579037,Wilson
434,,0,0,0,5134547,False,45,-1133,B.Aguilera
435,,0,4,0,5134547,False,43,2461,Arter
436,,0,-179,0,5134547,False,45,-9984,Aurier
437,,0,199,0,5134547,False,63,-14044,Awoniyi
438,,0,-4,0,5134547,False,39,-7950,Biancone
439,,0,-90,0,5134547,False,45,3460,Boly
440,,0,0,0,5134547,False,45,-351,Bowler
441,,0,0,0,5134547,False,45,-2336,Cook
442,,0,-13,0,5134547,False,53,-7491,Danilo
443,,0,-7,0,5134547,False,48,-45585,Dennis
444,,0,-2,0,5134547,False,40,-9894,Dräger
445,,0,3,0,5134547,False,44,-2087,Felipe
446,,0,-2,0,5134547,False,49,-1884,Freuler
447,,0,-341,0,5134547,False,57,-120875,Gibbs-White
448,,0,3,0,5134547,False,40,-11658,Hennessey
449,,0,-14,0,5134547,False,43,-6677,Horvath
450,,0,-111,0,5134547,False,58,-7703,Johnson
451,,0,0,0,5134547,False,48,-1581,Kouyaté
452,,0,0,0,5134547,False,45,-502,Laryea
453,,0,-13,0,5134547,False,50,-1225,Mangala
454,,0,-5,0,5134547,False,40,-7220,Mbe Soh
455,,0,-18,0,5134547,False,44,-5188,McKenna
456,,0,-1,0,5134547,False,44,-2481,Mighten
457,,0,9,0,5134547,False,45,-1251,Niakhaté
458,,0,0,0,5134547,False,49,-1140,O'Brien
459,,0,0,0,5134547,False,45,-390,Ojeda
460,,0,-4,0,5134547,False,40,-8999,Panzo
461,,0,-1,0,5134547,False,44,-3808,O.Richards
462,,0,0,0,5134547,False,45,-5095,G.Scarpa
463,,0,-1,0,5134547,False,48,-2568,J.Shelvey
464,,0,-9,0,5134547,False,45,-27425,Surridge
465,,0,-66,0,5134547,False,44,4905,Toffolo
466,,0,-24,0,5134547,False,44,-105725,Ui-jo
467,,0,-8,0,5134547,False,43,-11150,Williams
468,,0,-1583,0,5134547,True,49,21455,Wood
469,,0,-19,0,5134547,False,43,-4505,Worrall
470,,0,2,0,5134547,False,48,-2214,Yates
471,,0,-41,0,5134547,False,43,-26845,Ahmedhodžić
472,,0,-51,0,5134547,False,39,-2028,Amissah
473,,0,-277,0,5134547,False,38,-794069,Baldock
474,,0,-67,0,5134547,True,39,-15810,Basham
475,,0,-19,0,5134547,False,47,-8904,Berge
476,,0,-64,0,5134547,False,45,2458,Bogle
477,,0,10,0,5134547,False,49,-5043,Brewster
478,,0,-11,0,5134547,False,44,-1857,Coulibaly
479,,0,-2,0,5134547,False,40,-5583,A.Davies
480,,0,-5,0,5134547,True,43,-10703,Egan
481,,0,-3,0,5134547,False,49,-681,Fleck
482,,0,-113,0,5134547,False,45,-3420,Foderingham
483,,0,-1,0,5134547,False,48,-1002,Jebbison
484,,0,18,0,5134547,False,43,-5580,Lowe
485,,0,-43,0,5134547,False,54,-1992,McBurnie
486,,0,0,0,5134547,False,55,-2157,Ndiaye
487,,0,-63,0,5134547,False,39,8585,Norrington-Davies
488,,0,-12,0,5134547,False,48,-811,Norwood
489,,0,3,0,5134547,False,48,-2003,Osborn
490,,0,-289,0,5134547,False,43,-50223,Osula
491,,0,-13,0,5134547,False,39,-5921,Austin
492,,0,-34,0,5134547,False,54,2317,Bentancur
493,,0,17,0,5134547,False,50,-11841,Bissouma
494,,0,-4,0,5134547,False,49,16,Bryan
495,,0,-67,0,5134547,False,43,-38348,Davies
496,,0,-73,0,5134547,False,42,-71774,Dier
497,,0,-107,0,5134547,False,43,-33629,E.Royal
498,,0,1679,0,5134547,False,38,-172282,Forster
499,,0,-25,0,5134547,False,52,-34626,Højbjerg
500,,0,-18,0,5134547,False,125,-320828,Kane
